,averageRating,numVotes,Film,date,genres
119,8.1,929872,The Terminator,1984,"Action,Adventure,Sci-Fi"
120,8.1,730375,Fargo,1996,"Crime,Thriller"
121,8.1,483154,Ford v Ferrari,2019,"Action,Biography,Drama"
122,8.1,729133,Trainspotting,1996,Drama
123,8.1,452926,Room,2015,"Drama,Thriller"
124,8.1,1075045,Gone Girl,2014,"Drama,Mystery,Thriller"
125,8.1,724881,Million Dollar Baby,2004,"Drama,Sport"
126,8.1,660827,Into the Wild,2007,"Adventure,Biography,Drama"
127,8.1,954266,Harry Potter and the Deathly Hallows - Part 2,2011,"Adventure,Family,Fantasy"
128,8.1,551472,Dead Poets Society,1989,"Comedy,Drama"
129,8.1,619064,"Lock, Stock and Two Smoking Barrels",1998,"Action,Comedy,Crime"
130,8.1,985447,"Monsters, Inc.",2001,"Adventure,Animation,Comedy"
131,8.1,1218161,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action,Adventure,Fantasy"
132,8.1,504316,Spotlight,2015,"Biography,Crime,Drama"
133,8.1,444594,Stand by Me,1986,"Adventure,Comedy,Drama"
134,8.1,664398,Jaws,1975,"Adventure,Mystery,Thriller"
135,8.1,558474,"Three Billboards Outside Ebbing, Missouri",2017,"Comedy,Crime,Drama"
136,8.1,430845,The Wizard of Oz,1939,"Adventure,Family,Fantasy"
137,8.1,500128,Warrior,2011,"Action,Drama,Sport"
138,8.1,838343,Logan,2017,"Action,Drama,Sci-Fi"
139,8.1,827025,Blade Runner,1982,"Action,Drama,Sci-Fi"
140,8.1,600526,Hacksaw Ridge,2016,"Biography,Drama,History"
141,8.1,458049,The Exorcist,1973,Horror
142,8.1,818282,Gran Torino,2008,Drama
143,8.1,891850,The Grand Budapest Hotel,2014,"Adventure,Comedy,Crime"
144,8.1,495489,The Help,2011,Drama
145,8.1,833171,Ratatouille,2007,"Adventure,Animation,Comedy"
146,8.1,864603,The Big Lebowski,1998,"Comedy,Crime"
147,8.1,1110560,Mad Max: Fury Road,2015,"Action,Adventure,Sci-Fi"
148,8.1,799412,Inside Out,2015,"Adventure,Animation,Comedy"
149,8.1,516812,Rush,2013,"Action,Biography,Drama"
150,8.0,688844,Groundhog Day,1993,"Comedy,Drama,Fantasy"
151,8.0,1279347,Guardians of the Galaxy,2014,"Action,Adventure,Comedy"
152,8.0,649103,12 Monkeys,1995,"Mystery,Sci-Fi,Thriller"
153,8.0,880022,The Revenant,2015,"Action,Adventure,Drama"
154,8.0,854721,Donnie Darko,2001,"Drama,Mystery,Sci-Fi"
155,8.0,697628,Casino Royale,2006,"Action,Adventure,Thriller"
156,8.0,880530,Slumdog Millionaire,2008,"Crime,Drama,Romance"
157,8.0,422773,Life of Brian,1979,Comedy
158,8.0,549448,Rain Man,1988,Drama
159,8.0,881225,Dune,2021,"Action,Adventure,Drama"
160,8.0,829792,Black Swan,2010,"Drama,Thriller"
161,8.0,1134848,Deadpool,2016,"Action,Comedy"
162,8.0,550902,Zootopia,2016,"Action,Adventure,Animation"
163,8.0,710059,The King's Speech,2010,"Biography,Drama,History"
164,8.0,795679,Sin City,2005,"Crime,Thriller"
165,8.0,481400,Beauty and the Beast,1991,"Animation,Family,Fantasy"
166,8.0,660397,The Bourne Ultimatum,2007,"Action,Mystery,Thriller"
167,8.0,460366,Big Fish,2003,"Adventure,Drama,Fantasy"
168,8.0,931866,The Martian,2015,"Adventure,Drama,Sci-Fi"
169,8.0,678791,La La Land,2016,"Comedy,Drama,Music"
170,8.0,565326,The Pursuit of Happyness,2006,"Biography,Drama"
171,8.0,815083,The Incredibles,2004,"Action,Adventure,Animation"
172,8.0,589261,Blood Diamond,2006,"Adventure,Drama,Thriller"
173,8.0,675227,Her,2013,"Drama,Romance,Sci-Fi"
174,8.0,470715,Aladdin,1992,"Adventure,Animation,Comedy"
175,8.0,829458,The Imitation Game,2014,"Biography,Drama,Thriller"
176,8.0,811029,Kill Bill: Vol. 2,2004,"Action,Crime,Thriller"
177,8.0,453043,The Princess Bride,1987,"Adventure,Comedy,Family"
178,8.0,672907,Blade Runner 2049,2017,"Action,Drama,Mystery"
179,8.0,1465596,The Avengers,2012,"Action,Sci-Fi"
180,7.9,696311,Harry Potter and the Prisoner of Azkaban,2004,"Adventure,Family,Fantasy"
181,7.9,550974,The Perks of Being a Wallflower,2012,Drama
182,7.9,669783,Life of Pi,2012,"Adventure,Drama,Fantasy"
183,7.9,1131249,Iron Man,2008,"Action,Adventure,Sci-Fi"
184,7.9,440865,Zack Snyder's Justice League,2021,"Action,Adventure,Fantasy"
185,7.9,1393021,Avatar,2009,"Action,Adventure,Fantasy"
186,7.9,439881,E.T. the Extra-Terrestrial,1982,"Adventure,Family,Sci-Fi"
187,7.9,526765,Edward Scissorhands,1990,"Drama,Fantasy,Romance"
188,7.9,531839,Children of Men,2006,"Action,Drama,Sci-Fi"
189,7.9,597637,Bohemian Rhapsody,2018,"Biography,Drama,Music"
190,7.9,386840,Guardians of the Galaxy Vol. 3,2023,"Action,Adventure,Comedy"
191,7.9,386078,Mulholland Dr.,2001,"Drama,Mystery,Thriller"
192,7.9,780021,Knives Out,2019,"Comedy,Crime,Drama"
193,7.9,778674,Arrival,2016,"Drama,Mystery,Sci-Fi"
194,7.9,623185,Toy Story 2,1999,"Adventure,Animation,Comedy"
195,7.9,597317,Shaun of the Dead,2004,"Comedy,Horror"
196,7.9,748593,X-Men: Days of Future Past,2014,"Action,Adventure,Sci-Fi"
197,7.9,821412,Thor: Ragnarok,2017,"Action,Adventure,Comedy"
198,7.9,488182,Mystic River,2003,"Crime,Drama,Mystery"
199,7.9,742202,Edge of Tomorrow,2014,"Action,Adventure,Sci-Fi"
200,7.9,739717,Shrek,2001,"Adventure,Animation,Comedy"
201,7.9,521775,Dallas Buyers Club,2013,"Biography,Drama"
202,7.9,1289499,Titanic,1997,"Drama,Romance"
203,7.9,463790,In Bruges,2008,"Comedy,Crime,Drama"
204,7.9,444744,Jojo Rabbit,2019,"Comedy,Drama,War"
205,7.9,719665,District 9,2009,"Action,Sci-Fi,Thriller"
206,7.9,621721,Star Trek,2009,"Action,Adventure,Sci-Fi"
207,7.8,579198,The Bourne Identity,2002,"Action,Mystery,Thriller"
208,7.8,625268,The Notebook,2004,"Drama,Romance"
209,7.8,458209,Predator,1987,"Action,Adventure,Horror"
210,7.8,576403,Back to the Future Part II,1989,"Adventure,Comedy,Sci-Fi"
211,7.8,453849,Ghostbusters,1984,"Action,Comedy,Fantasy"
212,7.8,608874,Nightcrawler,2014,"Crime,Drama,Thriller"
213,7.8,454868,American Gangster,2007,"Biography,Crime,Drama"
214,7.8,877100,The Hobbit: An Unexpected Journey,2012,"Adventure,Fantasy"
215,7.8,642851,Cast Away,2000,"Adventure,Drama,Romance"
216,7.8,505918,Big Hero 6,2014,"Action,Adventure,Animation"
217,7.8,520824,Little Miss Sunshine,2006,"Comedy,Drama"
218,7.8,855459,Captain America: Civil War,2016,"Action,Sci-Fi"
219,7.8,390187,About Time,2013,"Comedy,Drama,Fantasy"
220,7.8,497017,The Girl with the Dragon Tattoo,2011,"Crime,Drama,Mystery"
221,7.8,389372,Ferris Bueller's Day Off,1986,Comedy
222,7.8,796449,The Batman,2022,"Action,Crime,Drama"
223,7.8,494863,Captain Phillips,2013,"Action,Biography,Crime"
224,7.8,489179,The Big Short,2015,"Biography,Comedy,Drama"
225,7.8,763250,The Social Network,2010,"Biography,Drama"
226,7.8,537631,Hot Fuzz,2007,"Action,Comedy,Mystery"
227,7.8,745321,Dunkirk,2017,"Action,Drama,History"
228,7.8,733968,Skyfall,2012,"Action,Adventure,Thriller"
229,7.8,439787,The Breakfast Club,1985,"Comedy,Drama"
230,7.8,407691,The Gentlemen,2019,"Action,Crime"
231,7.8,706563,Get Out,2017,"Horror,Mystery,Thriller"
232,7.8,709117,The Hobbit: The Desolation of Smaug,2013,"Adventure,Drama,Fantasy"
233,7.8,664475,The Hateful Eight,2015,"Crime,Drama,Mystery"
234,7.8,474147,The Last Samurai,2003,"Action,Drama"
235,7.8,434077,The Irishman,2019,"Biography,Crime,Drama"
236,7.8,691422,Rogue One,2016,"Action,Adventure,Sci-Fi"
237,7.8,699415,The Curious Case of Benjamin Button,2008,"Drama,Fantasy,Romance"
238,7.8,709426,Drive,2011,"Action,Drama"
239,7.8,390532,The Fighter,2010,"Action,Biography,Drama"
240,7.8,978106,Star Wars: Episode VII - The Force Awakens,2015,"Action,Adventure,Sci-Fi"
241,7.8,540312,Everything Everywhere All at Once,2022,"Action,Adventure,Comedy"
242,7.7,493173,Lost in Translation,2003,"Comedy,Drama"
243,7.7,484163,The Theory of Everything,2014,"Biography,Drama,Romance"
244,7.7,488961,The Bourne Supremacy,2004,"Action,Mystery,Thriller"
245,7.7,476073,Training Day,2001,"Crime,Drama,Thriller"
246,7.7,498107,Star Trek Into Darkness,2013,"Action,Adventure,Sci-Fi"
247,7.7,481138,Sicario,2015,"Action,Crime,Drama"
248,7.7,498225,Tangled,2010,"Adventure,Animation,Comedy"
249,7.7,562391,(500) Days of Summer,2009,"Comedy,Drama,Romance"
250,7.7,461456,Wreck-It Ralph,2012,"Adventure,Animation,Comedy"
251,7.7,726918,X: First Class,2011,"Action,Sci-Fi"
252,7.7,719683,Kingsman: The Secret Service,2014,"Action,Adventure,Comedy"
253,7.7,432419,The Game,1997,"Drama,Mystery,Thriller"
254,7.7,392174,Man on Fire,2004,"Action,Crime,Drama"
255,7.7,668912,Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy,Drama"
256,7.7,655983,Home Alone,1990,"Comedy,Family"
257,7.7,685843,Harry Potter and the Goblet of Fire,2005,"Adventure,Family,Fantasy"
258,7.7,390696,The Lego Movie,2014,"Action,Adventure,Animation"
259,7.7,403413,The Fault in Our Stars,2014,"Drama,Romance"
260,7.7,641068,Argo,2012,"Biography,Drama,History"
261,7.7,637754,Taken,2008,"Action,Crime,Thriller"
262,7.7,851732,The Hangover,2009,Comedy
263,7.7,623126,Ocean's Eleven,2001,"Crime,Thriller"
264,7.7,426061,Black Hawk Down,2001,"Action,Drama,History"
265,7.7,450154,Crash,2004,"Crime,Drama,Thriller"
266,7.7,745446,Silver Linings Playbook,2012,"Comedy,Drama,Romance"
267,7.7,866008,Gravity,2013,"Drama,Sci-Fi,Thriller"
268,7.7,603099,Harry Potter and the Deathly Hallows - Part 1,2010,"Adventure,Family,Fantasy"
269,7.7,602581,Zodiac,2007,"Crime,Drama,Mystery"
270,7.7,903541,Captain America: The Winter Soldier,2014,"Action,Adventure,Sci-Fi"
271,7.7,595422,Ex Machina,2014,"Drama,Sci-Fi,Thriller"
272,7.7,385604,Brokeback Mountain,2005,"Drama,Romance"
273,7.6,764207,Guardians of the Galaxy Vol. 2,2017,"Action,Adventure,Comedy"
274,7.6,409923,Die Hard with a Vengeance,1995,"Action,Adventure,Thriller"
275,7.6,533261,Love Actually,2003,"Comedy,Drama,Romance"
276,7.6,851241,Star Wars: Episode III - Revenge of the Sith,2005,"Action,Adventure,Fantasy"
277,7.6,400807,Inside Man,2006,"Crime,Drama,Mystery"
278,7.6,395366,The Others,2001,"Horror,Mystery,Thriller"
279,7.6,526940,Kung Fu Panda,2008,"Action,Adventure,Animation"
280,7.6,483523,Dawn of the Planet of the Apes,2014,"Action,Adventure,Drama"
281,7.6,523577,The Butterfly Effect,2004,"Drama,Sci-Fi,Thriller"
282,7.6,857395,Once Upon a Time in... Hollywood,2019,"Comedy,Drama"
283,7.6,861279,Harry Potter and the Sorcerer's Stone,2001,"Adventure,Family,Fantasy"
284,7.6,868568,300,2006,"Action,Drama"
285,7.6,417628,The Machinist,2004,"Drama,Thriller"
286,7.6,587768,Despicable Me,2010,"Adventure,Animation,Comedy"
287,7.6,652447,Deadpool 2,2018,"Action,Adventure,Comedy"
288,7.6,674335,Sherlock Holmes,2009,"Action,Adventure,Mystery"
289,7.6,584910,Watchmen,2009,"Action,Drama,Mystery"
290,7.6,596169,Kick-Ass,2010,"Action,Comedy,Crime"
291,7.6,599498,Harry Potter and the Half-Blood Prince,2009,"Action,Adventure,Family"
292,7.6,451485,Midnight in Paris,2011,"Comedy,Fantasy,Romance"
293,7.6,575013,Rise of the Planet of the Apes,2011,"Action,Drama,Sci-Fi"
294,7.6,467757,Scott Pilgrim vs. the World,2010,"Action,Comedy,Fantasy"
295,7.6,637206,Superbad,2007,Comedy
296,7.6,468069,Moneyball,2011,"Biography,Drama,Sport"
297,7.6,422311,A Star Is Born,2018,"Drama,Music,Romance"
298,7.6,469713,Saw,2004,"Horror,Mystery,Thriller"
299,7.6,510148,Le CinquiÃ¨me ÃlÃ©ment,1997,"Action,Adventure,Sci-Fi"
300,7.6,551642,Fury,2014,"Action,Drama,War"
301,7.6,426184,The Godfather Part III,1990,"Crime,Drama"
302,7.6,587127,Minority Report,2002,"Action,Crime,Mystery"
303,7.6,723151,American Psycho,2000,"Crime,Drama,Horror"
304,7.5,435364,Collateral,2004,"Action,Crime,Drama"
305,7.5,403237,127 Hours,2010,"Biography,Drama"
306,7.5,475185,Gangs of New York,2002,"Crime,Drama"
307,7.5,449690,28 Days Later...,2002,"Drama,Horror,Sci-Fi"
308,7.5,475449,The Hurt Locker,2008,"Drama,Thriller,War"
309,7.5,390677,The Illusionist,2006,"Drama,Fantasy,Mystery"
310,7.5,404567,The Devil's Advocate,1997,"Drama,Fantasy,Mystery"
311,7.5,406324,Batman,1989,"Action,Adventure"
312,7.5,500539,Avatar: The Way of Water,2022,"Action,Adventure,Fantasy"
313,7.5,385666,The Aviator,2004,"Biography,Drama"
314,7.5,417902,The Town,2010,"Crime,Drama,Thriller"
315,7.5,589515,A Quiet Place,2018,"Drama,Horror,Sci-Fi"
316,7.5,637263,Harry Potter and the Order of the Phoenix,2007,"Action,Adventure,Family"
317,7.5,725458,The Hunger Games: Catching Fire,2013,"Action,Adventure,Sci-Fi"
318,7.5,713958,Spider-Man 2,2004,"Action,Adventure,Sci-Fi"
319,7.5,810696,Doctor Strange,2016,"Action,Adventure,Fantasy"
320,7.5,522517,Ice Age,2002,"Adventure,Animation,Comedy"
321,7.5,617427,Baby Driver,2017,"Action,Crime,Drama"
322,7.5,625259,Zombieland,2009,"Action,Comedy,Horror"
323,7.5,558957,The Conjuring,2013,"Horror,Mystery,Thriller"
324,7.5,537876,Indiana Jones and the Temple of Doom,1984,"Action,Adventure"
325,7.5,552858,Source Code,2011,"Action,Drama,Mystery"
326,7.4,696727,Harry Potter and the Chamber of Secrets,2002,"Adventure,Family,Fantasy"
327,7.4,413020,Mission: Impossible - Rogue Nation,2015,"Action,Adventure,Thriller"
328,7.4,482538,Sherlock Holmes: A Game of Shadows,2011,"Action,Adventure,Mystery"
329,7.4,551093,Juno,2007,"Comedy,Drama"
330,7.4,429662,John Wick: Chapter 3 - Parabellum,2019,"Action,Crime,Thriller"
331,7.4,724794,Spider-Man: Homecoming,2017,"Action,Adventure,Sci-Fi"
332,7.4,667179,Frozen,2013,"Adventure,Animation,Comedy"
333,7.4,439503,Shang-Chi and the Legend of the Ten Rings,2021,"Action,Adventure,Fantasy"
334,7.4,562457,Spider-Man: Far from Home,2019,"Action,Adventure,Comedy"
335,7.4,445028,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Comedy
336,7.4,568687,"Crazy, Stupid, Love.",2011,"Comedy,Drama,Romance"
337,7.4,575425,The Hobbit: The Battle of the Five Armies,2014,"Adventure,Fantasy"
338,7.4,579019,X2,2003,"Action,Sci-Fi,Thriller"
339,7.4,614897,Limitless,2011,"Sci-Fi,Thriller"
340,7.4,483699,Back to the Future Part III,1990,"Adventure,Comedy,Sci-Fi"
341,7.4,605297,Looper,2012,"Action,Drama,Sci-Fi"
342,7.4,391174,Scream,1996,"Horror,Mystery"
343,7.4,491084,Ready Player One,2018,"Action,Adventure,Sci-Fi"
344,7.4,530413,Mission: Impossible - Ghost Protocol,2011,"Action,Adventure,Thriller"
345,7.4,885774,Spider-Man,2002,"Action,Adventure,Sci-Fi"
346,7.4,515653,John Wick: Chapter 2,2017,"Action,Crime,Thriller"
347,7.4,498099,The Terminal,2004,"Comedy,Drama,Romance"
348,7.4,771961,Pirates of the Caribbean: Dead Man's Chest,2006,"Action,Adventure,Fantasy"
349,7.4,744217,John Wick,2014,"Action,Crime,Thriller"
350,7.3,598548,Tenet,2020,"Action,Sci-Fi,Thriller"
351,7.3,449473,The Shape of Water,2017,"Drama,Fantasy,Romance"
352,7.3,617125,Men in Black,1997,"Action,Adventure,Comedy"
353,7.3,926894,Avengers: Age of Ultron,2015,"Action,Adventure,Sci-Fi"
354,7.3,444022,Unbreakable,2000,"Drama,Mystery,Sci-Fi"
355,7.3,573869,Troy,2004,"Adventure,Drama"
356,7.3,445933,Bullet Train,2022,"Action,Comedy,Thriller"
357,7.3,388206,Sweeney Todd: The Demon Barber of Fleet Street,2007,"Drama,Horror,Musical"
358,7.3,389805,10 Things I Hate About You,1999,"Comedy,Drama,Romance"
359,7.3,385540,Sleepy Hollow,1999,"Fantasy,Horror,Mystery"
360,7.3,559782,Split,2016,"Horror,Thriller"
361,7.3,842437,Black Panther,2018,"Action,Adventure,Sci-Fi"
362,7.3,447848,No Time to Die,2021,"Action,Adventure,Thriller"
363,7.3,508499,Shrek 2,2004,"Adventure,Animation,Comedy"
364,7.3,409210,Fast Five,2011,"Action,Crime,Thriller"
365,7.3,611466,It,2017,"Fantasy,Horror"
366,7.3,532394,American Sniper,2014,"Action,Biography,Drama"
367,7.3,403055,Face/Off,1997,"Action,Crime,Sci-Fi"
368,7.3,394327,Speed,1994,"Action,Adventure,Thriller"
369,7.3,414811,Dumb and Dumber,1994,Comedy
370,7.3,702498,Wonder Woman,2017,"Action,Adventure,Fantasy"
371,7.3,428328,Despicable Me 2,2013,"Adventure,Animation,Comedy"
372,7.3,649981,X-Men,2000,"Action,Adventure,Sci-Fi"
373,7.2,413333,The Suicide Squad,2021,"Action,Adventure,Comedy"
374,7.2,1009740,The Hunger Games,2012,"Action,Adventure,Sci-Fi"
375,7.2,712570,Now You See Me,2013,"Crime,Mystery,Thriller"
376,7.2,449323,King Kong,2005,"Action,Adventure,Romance"
377,7.2,424590,The Equalizer,2014,"Action,Crime,Thriller"
378,7.2,399874,The Menu,2022,"Comedy,Horror,Thriller"
379,7.2,392943,Monsters University,2013,"Adventure,Animation,Comedy"
380,7.2,820394,I Am Legend,2007,"Action,Drama,Horror"
381,7.2,725807,Ant-Man,2015,"Action,Comedy,Sci-Fi"
382,7.2,633878,The Matrix Reloaded,2003,"Action,Sci-Fi"
383,7.2,472719,Mission: Impossible,1996,"Action,Adventure,Thriller"
384,7.2,510029,Fantastic Beasts and Where to Find Them,2016,"Adventure,Family,Fantasy"
385,7.2,501699,American Hustle,2013,"Crime,Drama"
386,7.2,607516,Don't Look Up,2021,"Comedy,Drama,Sci-Fi"
387,7.2,474323,Cars,2006,"Adventure,Animation,Comedy"
388,7.2,602349,21 Jump Street,2012,"Action,Comedy,Crime"
389,7.2,600863,The Great Gatsby,2013,"Drama,Romance"
390,7.1,431501,Free Guy,2021,"Action,Adventure,Comedy"
391,7.1,470173,The 40 Year Old Virgin,2005,"Comedy,Romance"
392,7.1,439027,Mean Girls,2004,Comedy
393,7.1,391209,Snowpiercer,2013,"Action,Drama,Sci-Fi"
394,7.1,697381,Pirates of the Caribbean: At World's End,2007,"Action,Adventure,Fantasy"
395,7.1,464374,The Mummy,1999,"Action,Adventure,Fantasy"
